index,US_title,products,MR_data,module,changes
1,"As a test manager, I want to create a new project repository, so I can organize and manage test cases effectively.","[""testmngmnt""]","[{""id"": 1}]",repository,"[{""id"":1,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff1""}]}]"
2,"As a test engineer, I want to organize test cases into folders within the repository, so I can easily manage and categorize test scenarios.","[""testmngmnt""]","[{""id"": 2}] ",repository,"[{""id"":2,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff3""}]}]"
3,"As a test developer, I want to enable version control for test scripts and Gherkin codes within the repository, so I can track changes and collaborate with other team members effectively.","[""testmngmnt""]","[{""id"": 3}] ",repository,"[{""id"":3,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff5""}]}]"
4,"As a test engineer, I want to create a new test case within a project or folder, so I can start designing and documenting test scenarios.","[""testmngmnt""]","[{""id"": 4}] ",repository,"[{""id"":4,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff7""}]}]"
5,"As a test engineer, I want to choose between Classic and Gherkin test case formats when creating a new test case, so I can tailor the test case to manual or automated testing requirements.","[""testmngmnt""]","[{""id"": 5}]",repository,"[{""id"":5,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""True"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff9""}]}]"
6,"As a test engineer, I want to create a Gherkin test case, so I can design scenarios in a dedicated text editor and later export them to the Cucumber format.","[""testmngmnt""]","[{""id"": 6}] ",repository,"[{""id"":6,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""True"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff11""}]}]"
7,"As a test engineer, I want to create a test case directly from requirements, so I can ensure complete test coverage and traceability.","[""testmngmnt""]","[{""id"": 7}] ",repository,"[{""id"":7,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""True"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff13""}]}]"
8,"As a test engineer, I want to view and edit an existing test case, so I can update test steps, expected results, or Gherkin scenarios as needed.","[""testmngmnt""]","[{""id"": 8}]",repository,"[{""id"":8,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""True"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff15""}]}]"
9,"As a test engineer, I want to add attachments, such as images or files, to a test case, so I can provide additional information or evidence for the test execution.","[""testmngmnt""]","[{""id"": 9}] ",repository,"[{""id"":9,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff17""}]}]"
10,"As a test engineer, I want to link test cases to specific requirements, so I can track the coverage and ensure all requirements are tested.","[""testmngmnt""]","[{""id"": 10}]",repository,"[{""id"":10,""changes"":[{""old_path"":""src/repo"",""new_path"":""src/repo"",""new_file"":""False"",""renamed_file"":""False"",""deleted_file"":""False"",""diff"":""Diff19""}]}]"
